name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Pierre Croce,Les pires vengeances du Karma,1077446,60979,807,0,939
Pierre Croce,Cache-cache au Parc Astérix,1747576,97382,1101,0,1962
Pierre Croce,On bat des records du monde #3 (avec Le Rire Jaune),1666828,73410,1579,0,1283
Pierre Croce,J'ouvre vos cadeaux #4,1070777,59493,670,0,1864
Pierre Croce,Ce que je vous cachais depuis des mois,1161461,34776,594,0,1175
Pierre Croce,"Une journée au service de l'autre, la vengeance !",1478646,81303,1047,0,1886
Pierre Croce,24h avec un chat VS 24h avec un chien,1487226,76752,1287,0,3912
Pierre Croce,Qui est le plus moche d'entre nous ?,1046004,58436,1361,0,1693
Pierre Croce,100$ challenge,813295,45909,716,0,1103
Pierre Croce,On fait signer des pétitions absurdes #2,805593,49605,642,0,1686
Pierre Croce,Elle me dit des mots d'amour,874702,48882,671,0,1550
Pierre Croce,Je photoshope vos photos (pour les embellir évidemment),466200,32027,985,0,600
Pierre Croce,On devine le prix de la lingerie féminine #2,1664787,91988,1131,0,921
Pierre Croce,On refait les pires challenges de l'histoire d'internet,1474268,68512,1812,0,1321
Pierre Croce,Vous piégez vos potes par sms en lendemain de soirée,959515,69849,5455,0,4943
Pierre Croce,On refait des Olympiades de la Grèce Antique,780642,41140,1006,0,785
Pierre Croce,Les plus gros fails de la publicité,947063,46077,970,0,721
Pierre Croce,Une journée au service de l'autre,1388796,77511,759,0,1629
Pierre Croce,Punchlines de rappeurs VS Punchlines d'amateurs ?,1138579,50482,1621,0,1578
Pierre Croce,On refait nos photos d'enfance avec mon frère,926760,59143,641,0,2222
Pierre Croce,"Tu ouvres la mauvaise boîte, tu souffres !",823025,46577,1046,0,922
Pierre Croce,Ces gens qui ont trop bu,758733,52247,536,0,1092
Pierre Croce,Qui a pété ? : le jeu le plus mature d’internet,1666536,76810,1385,0,2215
Pierre Croce,Ce que pensent les animaux (feat. 21 youtubeurs),653863,59858,1546,0,1914
Pierre Croce,Les pires délires de riches #2,1554170,78293,1450,0,1164
Pierre Croce,Comparaison des 2 meilleurs hôtels de ma vie,964464,71617,746,0,1803
Pierre Croce,L'argent peut-il tout acheter ?,987946,45690,843,0,1031
Pierre Croce,Mario Party en vrai,2266552,97950,2376,0,2976
Pierre Croce,Tu devines le prix ou tu le portes #2,2324942,98648,1663,0,1826
Pierre Croce,Chasse Pokémon par des rugbymen,1087745,64541,798,0,1932
Pierre Croce,24h en dépensant le moins d'argent possible,2990415,109555,2391,0,4256
Pierre Croce,On a fait une chanson avec vos commentaires,1755513,105289,2091,0,5686
Pierre Croce,Une journée menotté avec Kate et Anna,2071118,81832,1708,0,5143
Pierre Croce,Les 9 meilleurs jeux à faire en soirée,1520574,71503,1126,0,1204
Pierre Croce,PÉTITIONS CHALLENGE - On fait signer des pétitions absurdes à des inconnus,972297,69031,1056,0,2726
Pierre Croce,Aveux à mes anciens profs,774867,55578,1364,0,13107
Pierre Croce,Mario Kart Ballons en vrai,3283028,142519,2513,0,2837
Pierre Croce,Tu devines le prix ou t'es obligé de le porter sur toi,1247692,82100,895,0,1686
Pierre Croce,On a essayé d'avoir un bébé,1592077,62182,2897,0,2706
Pierre Croce,Une journée en tant que boulanger,2376650,107254,1493,0,3708
Pierre Croce,Les pires tenues de défilés de mode,1026678,51066,878,0,851
Pierre Croce,"Tu perds, t'accélères en pleine forêt",691454,42680,1263,0,623
Pierre Croce,Pour combien tu couches avec ton voisin de gauche ?,1662899,80232,1240,0,1996
Pierre Croce,Clash de Pouce Gris,812898,121235,18315,0,4885
Pierre Croce,On a échangé nos comptes Instagram pendant une journée,3481833,156130,1982,0,1948
Pierre Croce,Stand-up d'un enfant de 9 ans,804117,79512,551,0,3281
Pierre Croce,"Tu perds, tu te prends des balles à 200km/h",1570714,65183,1079,0,1736
Pierre Croce,On bat des records du monde #2 (avec Amixem),3481771,130065,2660,0,3282
Pierre Croce,On fait des coupes de cheveux à des inconnus,2112991,84983,2096,0,4843
Pierre Croce,Vous m'avez fait mon site internet (et c'est très gênant),815452,43675,544,0,1991
